text,label,Pattern Category,text_length,clean_text,UID
Your free trial starts todayóbilling begins tomorrow.,1,Sneaking,7,Your free trial starts todayóbilling begins tomorrow.,0
"Cancel anytime, but not before the first charge.",1,Sneaking,8,"Cancel anytime, but not before the first charge.",0
Shipping is freeóon orders above $200.,1,Sneaking,6,Shipping is freeóon orders above $200.,0
Continue to claim your offerósubscription auto-renews.,1,Sneaking,6,Continue to claim your offerósubscription auto-renews.,0
"One click to join, three steps to cancel.",1,Sneaking,8,"One click to join, three steps to cancel.",0
Download is freeópremium features sold separately.,1,Sneaking,6,Download is freeópremium features sold separately.,0
Price shown excludes mandatory service fee.,1,Sneaking,6,Price shown excludes mandatory service fee.,0
"By checking out, you agree to share your data.",1,Sneaking,9,"By checking out, you agree to share your data.",0
Opt-out requires a phone call during business hours.,1,Sneaking,8,Opt-out requires a phone call during business hours.,0
Trial ends in 7 daysócharges start on day 8.,1,Sneaking,9,Trial ends in 7 daysócharges start on day 8.,0
This add-on is pre-selected for your convenience.,1,Sneaking,7,This add-on is pre-selected for your convenience.,0
Extra protection added to your cart automatically.,1,Sneaking,7,Extra protection added to your cart automatically.,0
Uncheck the box if you donít want monthly insurance.,1,Sneaking,9,Uncheck the box if you donít want monthly insurance.,0
Promo appliedóadditional fees may still apply.,1,Sneaking,6,Promo appliedóadditional fees may still apply.,0
Stream free nowócredit card required.,1,Sneaking,5,Stream free nowócredit card required.,0
Bonus gift includedówith your first paid month.,1,Sneaking,7,Bonus gift includedówith your first paid month.,0
Upgrade appliedórevert requires customer support.,1,Sneaking,5,Upgrade appliedórevert requires customer support.,0
Special discountótaxes not included.,1,Sneaking,4,Special discountótaxes not included.,0
Get 3 months freeówith 12-month commitment.,1,Sneaking,6,Get 3 months freeówith 12-month commitment.,0
Shipping fee revealed at final checkout.,1,Sneaking,6,Shipping fee revealed at final checkout.,0
ìContinueî means you accept recurring billing.,1,Sneaking,6,ìContinueî means you accept recurring billing.,0
One-time offeróuntil you unsubscribe.,1,Sneaking,4,One-time offeróuntil you unsubscribe.,0
Limited-time trialóauto-renewal guaranteed.,1,Sneaking,3,Limited-time trialóauto-renewal guaranteed.,0
Cancel online? Call us first.,1,Sneaking,5,Cancel online? Call us first.,0
The first charge may appear before your trial ends.,1,Sneaking,9,The first charge may appear before your trial ends.,0
Advertised price excludes handling charges.,1,Sneaking,5,Advertised price excludes handling charges.,0
Auto-enrolled in premium plan after sign-up.,1,Sneaking,6,Auto-enrolled in premium plan after sign-up.,0
Subscription added to your cart automatically.,1,Sneaking,6,Subscription added to your cart automatically.,0
Cancel before midnightóor pay for the month.,1,Sneaking,7,Cancel before midnightóor pay for the month.,0
Download freeóads removed for a fee.,1,Sneaking,6,Download freeóads removed for a fee.,0
Click ìYesî to continue with insurance coverage.,1,Sneaking,7,Click ìYesî to continue with insurance coverage.,0
Refund requests processed after 60 days.,1,Sneaking,6,Refund requests processed after 60 days.,0
Add-on services selected by default.,1,Sneaking,5,Add-on services selected by default.,0
ìFreeî applies to the first item only.,1,Sneaking,7,ìFreeî applies to the first item only.,0
First month freeóbilling details required.,1,Sneaking,5,First month freeóbilling details required.,0
Discount applied after rebate submission.,1,Sneaking,5,Discount applied after rebate submission.,0
Opt-out option hidden under ìMore Settings.î,1,Sneaking,6,Opt-out option hidden under ìMore Settings.î,0
Free upgradeóexpires unless canceled.,1,Sneaking,4,Free upgradeóexpires unless canceled.,0
Trial billed if canceled after 24 hours.,1,Sneaking,7,Trial billed if canceled after 24 hours.,0
Membership required for exclusive pricing.,1,Sneaking,5,Membership required for exclusive pricing.,0
Advertised as freeóprocessing fee applies.,1,Sneaking,5,Advertised as freeóprocessing fee applies.,0
Clicking next signs you up for newsletters.,1,Sneaking,7,Clicking next signs you up for newsletters.,0
Pre-checked donation added to your bill.,1,Sneaking,6,Pre-checked donation added to your bill.,0
Price shown excludes installation.,1,Sneaking,4,Price shown excludes installation.,0
Package includes hidden surcharges.,1,Sneaking,4,Package includes hidden surcharges.,0
Gift automatically addedówith subscription.,1,Sneaking,4,Gift automatically addedówith subscription.,0
Ending your trial requires live chat approval.,1,Sneaking,7,Ending your trial requires live chat approval.,0
ìContinueî applies add-ons instantly.,1,Sneaking,4,ìContinueî applies add-ons instantly.,0
Free trial requires upfront payment info.,1,Sneaking,6,Free trial requires upfront payment info.,0
Default option includes extra coverage.,1,Sneaking,5,Default option includes extra coverage.,0
Subscription continues unless canceled manually.,1,Sneaking,5,Subscription continues unless canceled manually.,0
Tax and fees calculated at final step.,1,Sneaking,7,Tax and fees calculated at final step.,0
Automatic renewal set by default.,1,Sneaking,5,Automatic renewal set by default.,0
Cancelation must be requested in writing.,1,Sneaking,6,Cancelation must be requested in writing.,0
ìNo thanksî button hidden in small text.,1,Sneaking,7,ìNo thanksî button hidden in small text.,0
